UUID|Author|LastName|Name|Birth Year|Death Year|Author_name|Summary|Wiki_URL|cats|linked_authors|country|genera|title|uuid_coem|Image|Audio
c6861273-e86f-44f1-bbca-01abe13fcda7|Alonso, Manuel A.|Alonso|Manuel A.|1822|1889|Manuel A. Alonso|Manuel Antonio Alonso Pacheco (San Juan, Puerto Rico, 6 de octubre de 1822 - San Juan, Puerto Rico, 4 de noviembre de 1889) fue un escritor y médico puertorriqueño.Se le considera una de las primeras figuras literarias del Romanticismo antillano.|https://es.wikipedia.org/wiki/Manuel_A._Alonso|Escritores de Puerto Rico,Escritores en español del siglo XIX,Fallecidos en 1889,Hombres,Nacidos en 1822,Nacidos en San Juan (Puerto Rico)||Puerto Rico|Romanticismo|1833-1883|2ec7f41d-249d-4b59-bbbc-3b5b5006b4c4|Sagan.png|tenquita.mp3
415a9464-6aa8-47a0-be60-a7b0d98db1a6|Alonso, Dámaso|Alonso|Dámaso|1898|1990|Dámaso Alonso|Dámaso Alonso y Fernández de las Redondas  (Madrid, 22 de octubre de 1898-Madrid 25 de enero de 1990) fue un escritor y filólogo español, director de la Real Academia Española, la Revista de Filología Española y miembro de la Real Academia de la Historia. Premio Nacional de Poesía de España en 1927 y Premio Miguel de Cervantes en 1978.|https://es.wikipedia.org/wiki/D%C3%A1maso_Alonso|Académicos de la Real Academia Española,Académicos honorarios de la Academia Mexicana de la Lengua,Académicos numerarios de la Real Academia de la Historia,Alumnado del Colegio Nuestra Señora del Recuerdo,Catedráticos de la Universidad Complutense de Madrid,Directores de la Real Academia Española,Doctores honoris causa de la Universidad Nacional Mayor de San Marcos,Escritores de España de la Generación del 27,Escritores en español del siglo XX,Fallecidos en 1990,Fallecidos en Madrid,Filólogos de España del siglo XX,Ganadores del Premio Cervantes,Graduados honorarios de la Universidad de Leeds,Grandes cruces de la Orden El Sol del Perú,Grandes cruces de la Orden de Alfonso X el Sabio,Hombres,Miembros de la Academia de Ciencias de Baviera,Miembros de la Real Academia Gallega,Nacidos en 1898,Nacidos en Madrid,Poesía moderna,Poetas de España del siglo XX,Poetas de Madrid,Premio Fastenrath,Sepultados en el cementerio de La Almudena,Socios correspondientes de la Academia Brasileña de Letras|Alejo Carpentier,Antonio Machado,Carlos Bousoño,Federico García Lorca,Gerardo Diego,Gil Vicente,Jacinto Benavente,James Joyce,Joan Maragall,Jorge Luis Borges,José Antonio Muñoz Rojas,Juan Ramón Jiménez,Lope de Vega,Luis Cernuda,Manuel Altolaguirre,Miguel de Unamuno,Rafael Alberti,Rubén Darío,San Juan de la Cruz,T. S. Eliot,Vicente Aleixandre|España|Unknown|A los que van a nacer|06661c90-0ebe-48eb-a17a-b7125d97b83b|Sagan.png|tenquita.mp3
b5672238-08f4-477b-937c-aca9ac169590|Altolaguirre, Manuel|Altolaguirre|Manuel|1905|1959|Manuel Altolaguirre|Manuel Altolaguirre Bolín (Málaga, 29 de junio de 1905-Burgos, 26 de julio de 1959) fue un poeta y editor español, perteneciente a la generación del 27.[1]​|https://es.wikipedia.org/wiki/Manuel_Altolaguirre|Alumnado del Colegio San Estanislao de Kostka,Escritores de España de la Generación del 27,Escritores de España del siglo XX,Escritores de la provincia de Málaga,Escritores en español del siglo XX,Escritores españoles del exilio,Exiliados del franquismo en México,Fallecidos en 1959,Fallecidos en Burgos,Fallecidos por accidentes de tráfico en España,Hombres,Nacidos en 1905,Nacidos en Málaga,Poetas de España del siglo XX,Poetas de Málaga,Residentes,Sepultados en el cementerio de San Justo|Andrés Trapiello,Benito Pérez Galdós,Concha Méndez,Dámaso Alonso,Emilio Prados,Fray Luis de León,Garcilaso de la Vega,José Bergamín,José Martí,José María Hinojosa,José María Souvirón,Juan Ramón Jiménez,Luis Cernuda,Luis García Montero,Pedro Salinas,San Juan de la Cruz,Tirso de Molina|España|Unknown|Abandono|9578fac7-885b-4e66-8929-bf52e742a335|Sagan.png|tenquita.mp3
6830e13f-0136-4dd5-b42d-a7d5c59e3aac|Amor, Pita|Amor|Guinea|1918|2000|Pita Amor|Guadalupe Teresa Amor Schmidtlein (Ciudad de México, 30 de mayo de 1918 - Ibidem, 8 de mayo de 2000), conocida como Pita Amor, fue una escritora y poeta.[1]​[2]​[3]​[4]​|https://es.wikipedia.org/wiki/Pita_Amor|Actrices de cine de México,Actrices de teatro de México,Escritoras de México del siglo XX,Escritores de la Ciudad de México,Escritores en español del siglo XX,Fallecidos en 2000,Fallecidos en Ciudad de México,Modelos de artistas,Modelos femeninas de México,Mujeres,Musas modernas,Nacidos en 1918,Nacidos en Ciudad de México,Poetas de México del siglo XX,Poetisas de México|Elena Garro,Francisco de Quevedo,Gabriela Mistral,Juan José Arreola,Juan Rulfo,Manuel José Othón,Ramón López Velarde,Renato Leduc,Salvador Díaz Mirón,Salvador Novo,Sor Juana Inés de la Cruz,Xavier Villaurrutia|Mexico|Unknown|A la Rusia bizantina...|d5ad0277-3821-4037-80f3-d09edbbcbed6|Sagan.png|tenquita.mp3
8278bf85-7bbf-4122-92b1-ea03deb7621e|Andresen, Sophia de Mello Breyner|Andresen|Sophia de Mello Breyner|1919|2004|Sophia de Mello Breyner Andresen|Sophia de Mello Breyner Andresen (Oporto, 6 de noviembre de 1919 - Lisboa, 2 de julio de 2004) fue una de las poetisas portuguesas más importantes del siglo XX. Distinguida con el Prémio Camões en 1999, fue la primera mujer portuguesa en recibir el más importante galardón de la literatura en lengua lusa. En 2003 obtuvo también el Premio Reina Sofía de Poesía Iberoamericana.|https://es.wikipedia.org/wiki/Sophia_de_Mello_Breyner_Andresen|Católicos de Portugal,Cuentistas de Portugal,Damas grandes cruces de la Orden de Santiago de la Espada,Damas grandes cruces de la Orden del Infante Don Enrique,Dramaturgas de Portugal,Ensayistas de Portugal,Escritores en portugués,Fallecidos en 2004,Mujeres,Mujeres cuentistas,Mujeres ensayistas,Nacidos en 1919,Nacidos en Oporto,Poetas de Portugal del siglo XX,Poetisas de Portugal,Portuguesas del siglo XX,Premio Camões,Socialistas de Portugal,Traductoras de Portugal,Traductores al portugués,Traductores de Portugal del siglo XX,Traductores del inglés,Traductores del italiano|Dante Alighieri,William Shakespeare|Portugal|Unknown|Antínoo|72c3e052-13a4-4b04-9826-02064366410d|Sagan.png|tenquita.mp3
a412ab95-2e84-432e-81be-9fb1e2977199|Anónimo|Anónimo|Unknown|Unknown|Unknown| Anónimo||Unknown|Unknown||España|Unknown|Cantar de Mío Cid: Cantar primero|de38a5c2-b727-4d63-81a5-71cf904e16ce|Sagan.png|tenquita.mp3
cc841e72-86c8-4ba9-99d6-4c16b35fa29e|Anónimo|Anónimo|Unknown|Unknown|Unknown| Anónimo||Unknown|Unknown||Francia|Unknown|El cantar de Roldán|fbd269dd-3a73-493f-a7fe-0c4e2c707332|Sagan.png|tenquita.mp3
d84f0cb0-926b-4910-adb4-aabc42224d57|Anónimos|Anónimos|Unknown|Unknown|Unknown| Anónimos||Unknown|Unknown||Unknown|Unknown|Cuando la tormenta pase...|61375a93-1444-44d4-9533-2608193eaa29|Sagan.png|tenquita.mp3
75df0b84-1c14-4f38-8deb-b689ecb43146|Apollinaire, Guillaume|Apollinaire|Guillaume|1880|1918|Guillaume Apollinaire|Guillaume Apollinaire (pronunciación en francés: /ɡijom apɔlinɛʁ/, –de nombre completo Wilhelm Albert Włodzimierz Aleksander Apolinary Kostrowicki–, Roma, 26 de agosto de 1880-París, 9 de noviembre de 1918) o conocido simplemente en español como Guillermo Apollinaire, fue un poeta, dramaturgo, teórico y crítico de arte naturalizado francés de ascendencia bielorruso-polaca nacido en Italia; fue el creador del Caligrama y dio nombre al «surrealismo».Su seudónimo no es más que la francofonización de sus nombre de pila: El primero, Wilhelm a Guillaume (que se traducen literalmente como Guillermo en alemán y francés) y el quinto, de Apolinary a Apollinaire.|https://es.wikipedia.org/wiki/Guillaume_Apollinaire|Críticos de arte de Francia,Dramaturgos de Francia del siglo XX,Ensayistas de Francia del siglo XX,Escritores con seudónimo,Escritores en francés del siglo XX,Fallecidos en 1918,Fallecidos en París,Fallecidos por la gripe española,Guillaume Apollinaire,Hombres,Nacidos en 1880,Nacidos en Roma,Novelistas de Francia del siglo XX,Poesía moderna,Poetas de Francia del siglo XX,Sepultados en el cementerio del Père-Lachaise|André Breton|Francia|Romanticismo|El marinero de Ámsterdam|9217eca8-71f6-48e4-8ea8-9ed6bab4c759|Sagan.png|tenquita.mp3
fdcea596-88c4-46c2-b8ff-51032644f64b|Aragon, Louis|Aragon|Louis|1897|1982|Louis Aragon|Louis Aragon[a]​ (París, 3 de octubre de 1897-París, 24 de diciembre de 1982) fue un poeta y novelista francés.|https://es.wikipedia.org/wiki/Louis_Aragon|Academia Goncourt,Candidatos al Premio Nobel de Literatura,Escritores LGBT de Francia,Escritores de Francia del siglo XX,Escritores en francés del siglo XX,Escritores modernos de ficción relacionada con la mitología griega,Escritores médicos,Escritores surrealistas,Fallecidos en 1982,Fallecidos en París,Galardonados con la Orden de la Amistad de los Pueblos,Hombres,Miembros de la Academia de las Artes de Berlín,Miembros de la Resistencia francesa,Miembros del Partido Comunista Francés,Militares franceses de la Primera Guerra Mundial,Nacidos en 1897,Nacidos en París,Novelistas de Francia del siglo XX,Orden de la Revolución de Octubre,Poesía moderna,Poetas de Francia del siglo XX,Premio Lenin de la Paz,Premio Renaudot,Surrealistas|André Breton,Paul Éluard,Philippe Soupault,René Char,Robert Desnos,Vladímir Mayakovski|Francia|Unknown|Cántico a Elisa|c6d3a27d-d2bc-48c8-bf72-2b9f0df780ba|Sagan.png|tenquita.mp3
153d92ef-10af-4b82-95b4-36c8a5a9db8b|Arévalo Martínez, Rafael|Arévalo Martínez|Rafael|1884|1975|Rafael Arévalo Martínez|Rafael Arévalo Martínez (Ciudad de Guatemala, 25 de julio de 1884 - ibídem, 12 de junio de 1975), fue poeta, escritor, ensayista y dramaturco guatemalteco, considerado uno de los antecesores del realismo mágico.[2]​ Es uno de los escritores guatemaltecos más reconocidos de la «generación del 10».[3]​|https://es.wikipedia.org/wiki/Rafael_Ar%C3%A9valo_Mart%C3%ADnez|Escritores de Guatemala,Fallecidos en 1975,Historiadores de Guatemala,Hombres,Intelectuales que colaboraron con las Fiestas Minervalias de Guatemala,Miembros de la Academia Guatemalteca de la Lengua,Miembros de la Academia de Geografía e Historia de Guatemala,Miembros de la Generación del 10 de Guatemala,Nacidos en 1884,Nacidos en Ciudad de Guatemala,Novelistas de Guatemala,Orden del Quetzal,Periodistas de Guatemala,Poetas de Guatemala|Gabriela Mistral,José Santos Chocano,Miguel Ángel Asturias,Porfirio Barba Jacob|Guatemala|Realismo|El hechizado|83476b5b-a9fb-48ba-9767-bb8ca553cea8|Sagan.png|tenquita.mp3
bea05566-5dc9-4e55-8766-6364651fde74|Arquíloco|Arquíloco|Unknown|Unknown|Unknown| Arquíloco||Unknown|Unknown||Grecia|Unknown|Algún Sayo alardea con mi escudo, arma sin tacha|890a9504-49d1-49cd-87d4-4e5d21bd712e|Sagan.png|tenquita.mp3
6f83ad19-a350-4ed9-91c7-0e801ba148fc|Arteche, Miguel|Arteche|Miguel|1926|2012|Miguel Arteche|Miguel Arteche Salinas (nacido Miguel Salinas Arteche; Nueva Imperial, 4 de junio de 1926-Santiago, 22 de julio de 2012) fue un escritor chileno, perteneciente a la generación literaria de 1950, que destacó especialmente en poesía. Recibió el Premio Nacional de Literatura en 1996.|https://es.wikipedia.org/wiki/Miguel_Arteche|Alumnado del Instituto Nacional General José Miguel Carrera,Ensayistas de Chile,Escritores en español del siglo XX,Escritores en español del siglo XXI,Fallecidos en 2012,Fallecidos en Santiago de Chile,Hombres,Miembros de la Academia Chilena de la Lengua,Nacidos en 1926,Nacidos en Nueva Imperial,Novelistas de Chile,Poetas de Chile del siglo XX,Poetas de Chile del siglo XXI,Premio Nacional de Literatura de Chile|Dámaso Alonso,Gabriela Mistral,Luis Cernuda,Nicanor Parra,Rafael Alberti|Chile|Unknown|Amargo amor|e9413eb5-a4a1-41d1-a908-98de83af5d46|Sagan.png|tenquita.mp3
99a09ed8-a048-4d72-9908-50e39050bdc8|Atencia, María Victoria|Atencia|María Victoria|1931|Unknown|María Victoria Atencia|María Victoria Atencia García (Málaga, 28 de noviembre de 1931), es una poeta española perteneciente más por edad que por su obra a la Generación del 50, que fusiona clasicismo y modernidad. Admiradora de Rilke, está considerada una maestra del verso alejandrino.[1]​|https://es.wikipedia.org/wiki/Mar%C3%ADa_Victoria_Atencia|Académicos de la Real Academia de Bellas Artes de San Telmo,Doctores honoris causa por la Universidad de Málaga,Escritores de España del siglo XX,Escritores de España del siglo XXI,Generación del 50,Hijos predilectos de Andalucía,Medalla de Oro al Mérito en las Bellas Artes,Mujeres,Nacidos en 1931,Nacidos en Málaga,Personas vivas,Poetas de España del siglo XX,Poetas de España del siglo XXI,Poetas de Málaga,Poetisas de España,Pregoneros de la Semana Santa de Málaga|Blanca Varela,María Zambrano|España|Modernismo|A|b27c3b61-acd0-4d89-961e-d59f6843938d|Sagan.png|tenquita.mp3
b092d90f-bc0b-46b6-8739-ea1039844fc8|Aub, Max|Aub|Max|1903|1972|Max Aub|Max Aub Mohrenwitz (París, 2 de junio de 1903-Ciudad de México, 22 de julio de 1972) fue un escritor español de origen francés y alemán. Tras la guerra civil española se exilió en México, país del que tomó la nacionalidad y en el que vivió hasta su muerte.[1]​|https://es.wikipedia.org/wiki/Max_Aub|Aforistas,Antifascistas de España,Autobiógrafos de España,Críticos literarios de España del siglo XX,Cuentistas de España del siglo XX,Dramaturgos de España del siglo XX,Emigrantes españoles hacia México,Ensayistas de España del siglo XX,Escritores de España de la Generación del 27,Escritores de España del siglo XX,Escritores de París,Escritores en español del siglo XX,Escritores españoles del exilio,Exiliados del franquismo en México,Fallecidos en 1972,Fallecidos en Ciudad de México,Hombres,Judíos de España,Judíos de Francia,Judíos de México,Nacidos en 1903,Nacidos en París,Nacionalizados de México,Novelistas de España del siglo XX,Socialistas de España|Dionisio Ridruejo,Francisco Ayala,Juan Gil-Albert|Mexico|Unknown|Algún día|42b8c52b-0c43-4fd6-970b-e7144ed16cbd|Sagan.png|tenquita.mp3
28d1c549-7021-4e6e-a91e-284a0c937197|Ávila, Santa Teresa de|Ávila|Santa Teresa de|1515|1582|Teresa de Jesús|Santa Teresa de Jesús[4]​ (Gotarrendura[5]​[6]​[7]​[8]​ o Ávila,[9]​ 28 de marzo de 1515[10]​-Alba de Tormes, 4/15 de octubre de 1582)[nota 1]​ fue una monja, fundadora de la Orden de Carmelitas Descalzos —rama de la Orden de Nuestra Señora del Monte Carmelo—, mística y escritora española. También es conocida como santa Teresa de Ávila. Su nombre secular fue Teresa Sánchez de Cepeda Dávila y Ahumada. Fue beatificada en 1614 (a poco más de treinta años de su muerte), canonizada en 1622 y proclamada doctora de la Iglesia católica en 1970 durante el pontificado de Pablo VI.Junto con san Juan de la Cruz, se la considera la cumbre de la mística experimental cristiana[11]​[12]​ y una de las grandes maestras de la vida espiritual de la Iglesia.|https://es.wikipedia.org/wiki/Teresa_de_Jes%C3%BAs|Anacoretas de España,Autobiógrafos de España,Carmelitas de España del siglo XVI,Escritores espirituales de España,Fallecidos en 1582,Líderes religiosas,Monjas carmelitas,Mujeres,Nacidos en 1515,Patronos de la Jornada Mundial de la Juventud,Santa Teresa de Jesús|Francisco de Quevedo,Fray Luis de León,Garcilaso de la Vega,Jesús Fernández Santos,José María Gabriel y Galán,Lope de Vega,Miguel de Cervantes,Miguel de Unamuno,San Juan de la Cruz|España|Unknown|A la circuncisión|31787481-eaf1-4b2e-a838-d64442f37a06|Sagan.png|tenquita.mp3
